,Year,Country,y_ratio,GDP,Basic_water,Eating_disorder,Employed_%,Fat,Protein,Carbohydrate
102,2014,Bulgaria,1.4960835509138382,19202.8,99.0,0.16,2.883565417475428,89.7,82.7,431.725
103,2014,Burkina Faso,1.5981362842166569,1907.9,50.7,0.09,9.53434061013202,63.3,80.3,463.275
104,2014,Cambodia,1.4872086412734509,3364.3,67.8,0.08,25.65790343726992,36.0,64.7,508.3
105,2014,Cameroon,1.5706866705135605,3470.8,63.6,0.11,17.681914362027022,57.0,72.7,479.55
106,2014,Canada,1.7744282744282744,47564.6,99.0,0.47,0.8555745038321192,152.4,99.0,411.6
107,2014,Chile,1.606837606837607,24099.3,99.0,0.38,4.1841564217019815,89.7,86.7,463.475
108,2014,Colombia,1.603419746276889,13852.2,96.0,0.22,7.361538698034828,83.7,67.3,471.125
109,2014,Costa Rica,1.5396909962706449,18669.1,99.0,0.24,4.794229457875168,91.7,74.7,441.475
110,2014,Cyprus,1.541430777148739,33136.5,99.0,0.43,1.3946057309877575,110.7,91.7,407.975
111,2014,Czechia,1.6428571428571428,34386.7,99.0,0.2,1.2908663723819538,130.0,87.0,419.75
112,2014,Denmark,1.719630958482829,52048.3,99.0,0.51,1.1637126449829889,131.0,109.3,434.7
113,2014,Dominican Republic,1.502171552660152,14499.6,95.8,0.22,4.447849531862784,97.3,58.7,414.12500000000006
114,2014,Ecuador,1.4746335963923336,12078.5,92.4,0.29,10.751812080267646,101.0,65.7,361.05
115,2014,Egypt,1.8801331853496115,10353.7,99.0,0.2,7.402293922614395,58.0,98.3,618.2
116,2014,El Salvador,1.467650397275823,7990.4,94.4,0.2,7.881449197823585,59.0,74.0,439.75
117,2014,Estonia,1.6469984607491022,30494.1,99.0,0.18,1.8291798130023176,105.3,101.7,463.87500000000006
118,2014,Fiji,1.504100601421542,12058.0,94.3,0.1,16.061686404361723,72.3,70.7,454.37500000000006
119,2014,Finland,1.7025641025641025,44976.8,99.0,0.52,1.8981178853080063,141.0,117.3,395.45
120,2014,France,1.7830632514375326,43021.4,99.0,0.51,1.1572018946700442,151.7,108.0,403.425
121,2014,Georgia,1.469012605042017,12254.6,95.6,0.13,19.280253561684237,67.3,76.3,471.525
122,2014,Germany,1.812180143295804,50845.5,99.0,0.46,0.6992601924155825,142.0,103.3,462.45
123,2014,Greece,1.7790998448008275,28130.0,99.0,0.48,4.4843040108545935,148.7,107.3,417.875
124,2014,Guatemala,1.4427299703264096,7939.4,91.8,0.19,12.001082945566724,60.3,67.7,404.37500000000006
125,2014,Honduras,1.473564525298465,5177.4,92.7,0.17,10.64655897737042,83.0,58.3,402.95
126,2014,Hungary,1.6022668727460072,26485.4,99.0,0.19,1.94791611741408,140.7,82.0,378.925
127,2014,Iceland,1.7833935018050542,50450.7,99.0,0.48,2.4464990018016266,158.0,134.7,374.3
128,2014,Indonesia,1.598088813940416,9801.2,87.7,0.11,15.640908284184164,49.0,62.3,538.2
129,2014,Ireland,1.92619926199262,57668.8,97.4,0.46,2.3353243198615385,131.0,109.7,509.05
130,2014,Israel,2.008988764044944,37204.5,99.0,0.4,0.4921815239102158,148.0,124.6,436.4
131,2014,Italy,1.805800103573278,39898.5,99.0,0.58,1.3437396229276066,149.3,105.7,430.12500000000006
132,2014,Jamaica,1.4436170212765955,9438.5,90.3,0.2,7.226612157959778,75.3,72.7,436.37500000000006
133,2014,Japan,1.463939720129171,39739.5,98.9,0.42,1.7945108441198,86.7,86.7,398.225
134,2014,Kyrgyzstan,1.496414782129068,4722.1,87.8,0.09,12.444663985294946,65.3,84.3,447.025
135,2014,Latvia,1.6928759894459102,25423.6,98.5,0.17,3.2826708621525613,121.6,94.3,434.1000000000001
136,2014,Liberia,1.2827102803738315,1673.1,72.0,0.08,5.43538399287259,58.4,39.4,378.2000000000001
137,2014,Lithuania,1.7816938453445554,29855.8,96.1,0.17,4.068722240432267,94.3,119.3,515.2750000000001
138,2014,Luxembourg,1.7741116751269037,113314.0,99.0,0.61,0.6182012291889085,139.0,112.0,449.0
139,2014,Mali,1.723198061780739,2075.4,72.8,0.09,22.567740382605344,58.3,80.6,499.475
140,2014,Malta,1.7603092783505154,37270.1,99.0,0.43,0.5730026267463214,115.7,112.3,481.125
141,2014,Mauritius,1.6247995724211652,19240.2,99.0,0.14,3.096271446875216,92.0,86.3,466.7
142,2014,Mexico,1.7145196506550218,18887.6,97.6,0.25,5.608857067214344,97.3,89.0,477.3250000000001
143,2014,Mongolia,1.4488101826231323,10967.1,79.9,0.13,10.568308475428308,115.8,85.1,308.85
144,2014,Montenegro,1.7675392670157068,17674.6,97.1,0.16,1.9586691135402536,135.3,108.3,431.275
145,2014,Morocco,1.8537117903930127,6911.8,82.4,0.19,11.582447072971856,67.0,98.0,600.25
146,2014,Namibia,1.355263157894737,10413.3,82.1,0.16,9.08954151135775,52.7,62.0,411.675
147,2014,Netherlands,1.63013698630137,52187.0,99.0,0.41,1.030278612105075,126.3,108.7,410.37500000000006
148,2014,New Zealand,1.649895178197065,40353.1,99.0,0.65,3.126421722763459,117.0,91.7,432.05
149,2014,Nicaragua,1.4272009029345372,5443.3,81.3,0.16,13.4961728767679,58.3,62.0,439.0750000000001
150,2014,North Macedonia,1.5318818040435458,14596.6,97.4,0.15,5.881999056685501,101.0,79.7,431.8
151,2014,Norway,1.7765248590466427,62390.1,99.0,0.49,1.1457199146913553,141.7,112.3,435.375
152,2014,Pakistan,1.3822349570200574,4695.6,89.3,0.12,11.750779068604324,75.3,63.3,370.275
153,2014,Panama,1.5463743676222597,27352.5,92.5,0.28,6.822629623734175,80.7,78.0,428.175
154,2014,Paraguay,1.5211422295442063,11643.7,95.6,0.22,10.630493956836888,90.6,65.7,422.95
155,2014,Peru,1.5446880269814502,11877.1,89.7,0.3,14.75542409379319,56.7,84.0,475.425
156,2014,Philippines,1.4521337946943482,6973.6,91.6,0.1,11.528801646081233,52.7,59.7,451.225
157,2014,Poland,1.7643410852713175,26649.6,99.0,0.19,4.776662743089644,119.7,100.3,483.875
158,2014,Portugal,1.764367816091954,30444.6,99.0,0.45,3.734772836521848,135.0,111.3,429.2
159,2014,Romania,1.7815432742440045,23084.4,99.0,0.16,12.187366614613508,112.3,104.7,496.87500000000006
160,2014,Rwanda,1.2703488372093024,1780.1,56.3,0.09,33.88565243387342,24.3,59.0,432.575
161,2014,Samoa,1.6926579396698918,5785.1,91.1,0.1,0.9629591093538654,132.3,86.7,359.125
162,2014,Saudi Arabia,1.7611619150080688,48209.1,99.0,0.28,1.688898302025669,107.3,91.0,486.0750000000001
163,2014,Serbia,1.4657963446475195,15226.3,93.0,0.15,5.7104942930569536,82.3,84.0,432.5750000000001
164,2014,Sierra Leone,1.318840579710145,1987.1,56.7,0.09,13.261631889742178,52.0,51.0,400.75
165,2014,Slovakia,1.4425140521205928,27322.1,99.0,0.19,1.5222890960393074,119.3,69.3,368.025
166,2014,Slovenia,1.6682291666666669,33093.8,99.0,0.19,4.2436522001578725,114.3,97.0,446.5750000000001
167,2014,South Africa,1.5802801724137931,14040.8,91.4,0.17,1.3046707234633852,87.6,81.0,455.15
168,2014,Spain,1.645681581685744,35968.6,99.0,0.64,1.573197220124604,143.7,104.3,363.125
169,2014,Sri Lanka,1.4761101742551996,11428.1,89.4,0.12,10.69392556812147,46.3,63.7,488.62500000000006
170,2014,Sweden,1.646755921730175,49259.0,99.0,0.54,0.966969410358108,133.7,107.7,390.975
171,2014,Switzerland,1.7409669211195928,67682.7,99.0,0.54,1.8868869533681625,156.0,95.3,408.95
172,2014,Thailand,1.4732379438261791,15854.1,99.0,0.13,18.604548779615385,58.7,61.3,501.625
173,2014,Togo,1.4170999422299249,1863.3,62.4,0.09,7.989131965171742,51.0,55.7,442.8
174,2014,Trinidad and Tobago,1.5964724746125067,29864.0,97.8,0.3,1.6788797485497349,89.7,85.0,459.925
175,2014,Tunisia,1.8832236842105263,11123.2,94.2,0.21,4.561973281678575,94.3,99.3,547.2750000000001
176,2014,Ukraine,1.6465968586387434,12385.8,93.6,0.13,5.9184423175874405,86.7,87.7,503.475
177,2014,Uruguay,1.6973118279569892,22419.0,99.0,0.36,4.445014305505848,106.0,86.3,464.45
178,2014,Uzbekistan,1.748099891422367,6075.2,97.4,0.11,11.598153892308106,87.7,97.0,510.675
179,2015,Albania,1.712793733681462,11878.5,93.4,0.14,15.41353747624998,112.3,111.3,456.025
180,2015,Armenia,1.645367412140575,11321.3,99.0,0.13,12.9531826225347,95.3,97.0,461.0750000000001
181,2015,Australia,1.7769070010449322,47569.3,99.0,1.11,1.3007417779790476,159.0,107.7,384.8
182,2015,Austria,1.881869542886492,52873.9,99.0,0.62,2.1657588659640936,162.3,107.3,443.525
183,2015,Azerbaijan,1.6566684520621318,14852.6,92.4,0.15,17.64985673001071,64.0,90.3,538.95
184,2015,Barbados,1.5477439664218258,15388.6,98.5,0.25,1.2967577551370884,94.0,87.0,439.0
185,2015,Belarus,1.7162447257383966,18362.7,96.5,0.14,4.617866513888983,130.0,89.0,432.0
186,2015,Belgium,1.9547790339157245,49456.4,99.0,0.47,0.4744093492421241,164.0,98.3,483.7
187,2015,Belize,1.5218874360432064,7292.8,97.2,0.2,6.877864160520439,70.4,68.7,442.15
188,2015,Bosnia and Herzegovina,1.6950207468879668,12630.7,96.2,0.14,4.282166770378863,83.6,96.0,532.9
189,2015,Brazil,1.7221633085896075,15064.2,97.8,0.24,4.5534649870476,124.0,93.0,440.0
190,2015,Bulgaria,1.4383490073145246,19988.2,99.0,0.16,2.887049099974319,90.7,83.7,400.475
191,2015,Cambodia,1.4946053378762068,3541.4,68.4,0.08,23.600395195418464,37.3,65.0,509.0750000000001
192,2015,Canada,1.7779511180447218,47522.1,99.0,0.47,0.8186629970887122,157.3,99.0,401.825
193,2015,Chile,1.592098238120662,24329.6,99.0,0.38,4.189382190435762,90.3,87.0,455.3250000000001
194,2015,Colombia,1.6363636363636365,14095.7,96.3,0.22,7.366478939227032,85.0,68.7,482.55
195,2015,Costa Rica,1.5420660276890308,19141.7,99.0,0.24,5.214751830983301,94.0,76.7,435.8
196,2015,Cyprus,1.5702521873391662,34453.1,99.0,0.43,1.2326580745520836,111.7,91.7,419.725
197,2015,Czechia,1.6059670781893003,36168.4,99.0,0.2,1.3912043609375753,130.0,87.3,400.7
198,2015,Denmark,1.712090163934426,52892.6,99.0,0.51,1.1829075033904963,131.7,110.3,428.875
199,2015,Dominican Republic,1.4896963123644251,15328.4,96.1,0.23,3.887265450425149,98.7,61.0,403.675
200,2015,Ecuador,1.4771830985915493,11896.4,93.1,0.29,11.552920419180284,98.6,64.6,369.05
201,2015,Egypt,1.8822222222222225,10570.4,99.0,0.2,6.9196051116897,57.3,97.6,620.475
202,2015,El Salvador,1.4648526077097506,8143.3,95.6,0.2,7.6364230818667345,58.7,75.3,438.625
203,2015,Estonia,1.62782340862423,31038.8,99.0,0.18,1.897166490538496,115.0,101.7,432.3
204,2015,Finland,1.7101077475628528,45072.6,99.0,0.52,1.8711112019277785,140.7,117.7,398.975
205,2015,France,1.8242677824267783,43345.8,99.0,0.51,1.0994256979902128,148.7,108.0,429.425
206,2015,Georgia,1.4818516570226197,12605.1,95.8,0.13,18.898309717756163,68.7,75.7,473.975
207,2015,Germany,1.82642089093702,51159.3,99.0,0.46,0.685321810387065,143.3,104.3,465.025
208,2015,Ghana,1.6434195725534309,4786.0,80.2,0.11,11.169295898008432,40.0,59.6,580.9
209,2015,Greece,1.7559462254395035,28260.4,99.0,0.48,4.368803845723399,149.0,106.7,407.05
210,2015,Guatemala,1.4568047337278107,8125.7,92.1,0.19,12.239521179147111,62.7,69.0,405.425
211,2015,Honduras,1.4824263038548753,5283.4,93.3,0.17,10.953412874754305,83.0,59.0,408.0
212,2015,Hungary,1.660824742268041,27531.6,99.0,0.19,2.1066739620113677,144.7,85.0,394.925
213,2015,Iceland,1.8344507478081484,52142.9,99.0,0.48,2.3504331737509725,162.0,138.7,386.05
